journal_name,category,if_2023,if_2022,涨跌分值
Annual Review of Psychology,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",24.8,27.78,-2.982
Science Robotics,ROBOTICS - SCIE(Q1),25,27.54,-2.541
Annual Review of Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),16.6,27.26,-10.658
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),24,27.2,-3.203
Nature Sustainability,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI(Q1),27.6,27.16,0.443
Dialogues in Human Geography,GEOGRAPHY - SSCI(Q1),#N/A,27,#N/A
Materials Today,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",24.2,26.94,-2.743
JAMA Pediatrics,PEDIATRICS - SCIE(Q1),26.1,26.8,-0.696
JAMA Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),25.8,25.91,-0.111
Nature Machine Intelligence,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",23.8,25.9,-2.098
Chem,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",23.5,25.83,-2.332
STUDIES IN MYCOLOGY,MYCOLOGY - SCIE(Q1),16.5,25.73,-9.231
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHIATRY - SCIE(Q1); PSYCHOLOGY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),22.8,25.62,-2.817
BLOOD,HEMATOLOGY - SCIE(Q1),20.3,25.48,-5.176
Annual Review of Fluid Mechanics,"MECHANICS - SCIE(Q1); PHYSICS, FLUIDS & PLASMAS - SCIE(Q1)",27.7,25.29,2.407
Cell Stem Cell,CELL BIOLOGY - SCIE(Q1); CELL & TISSUE ENGINEERING - SCIE(Q1),23.9,25.27,-1.369
ENDOCRINE REVIEWS,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),20.3,25.26,-4.961
REVIEWS OF GEOPHYSICS,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1),25.2,24.95,0.254
FUNGAL DIVERSITY,MYCOLOGY - SCIE(Q1),20.3,24.9,-4.602
International Journal of Oral Science,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)",14.9,24.9,-9.997
COORDINATION CHEMISTRY REVIEWS,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)",20.6,24.83,-4.233
InfoMat,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",22.7,24.8,-2.098
Advances in Optics and Photonics,OPTICS - SCIE(Q1),27.1,24.75,2.35
TRENDS IN COGNITIVE SCIENCES,"NEUROSCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); BEHAVIORAL SCIENCES - SCIE(Q1)",19.9,24.48,-4.582
ACCOUNTS OF CHEMICAL RESEARCH,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",18.3,24.47,-6.166
APPLIED CATALYSIS B-ENVIRONMENTAL,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1); ENGINEERING, ENVIRONMENTAL - SCIE(Q1)",22.1,24.32,-2.219
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",23.6,24.31,-0.714
Nature Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",21.8,24.27,-2.474
EUROPEAN UROLOGY,UROLOGY & NEPHROLOGY - SCIE(Q1),23.4,24.27,-0.867
Nature Human Behaviour,"MULTIDISCIPLINARY SCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); NEUROSCIENCES - SCIE(Q1)",29.9,24.25,5.648
ACS Energy Letters,"ELECTROCHEMISTRY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",22,23.99,-1.991
Annual Review of Condensed Matter Physics,"PHYSICS, CONDENSED MATTER - SCIE(Q1)",22.6,23.98,-1.378
ADVANCES IN PHYSICS,"PHYSICS, CONDENSED MATTER - SCIE(Q1)",#N/A,23.75,#N/A
Nano-Micro Letters,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",26.6,23.66,2.945
CIRCULATION RESEARCH,HEMATOLOGY - SCIE(Q1); PERIPHERAL VASCULAR DISEASE - SCIE(Q1); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),20.1,23.21,-3.113
National Science Review,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),20.6,23.18,-2.578
Nature Cancer,ONCOLOGY - SCIE(Q1),22.7,23.18,-0.477
Journal of Hematology & Oncology,HEMATOLOGY - SCIE(Q1); ONCOLOGY - SCIE(Q1),28.5,23.17,5.332
PSYCHOLOGICAL BULLETIN,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",22.4,23.03,-0.627
DRUG RESISTANCE UPDATES,PHARMACOLOGY & PHARMACY - SCIE(Q1),24.3,22.84,1.459
Annual Review of Entomology,ENTOMOLOGY - SCIE(Q1),23.8,22.68,1.118
Trends in Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",15.7,22.45,-6.748
Annual Review of Physiology,PHYSIOLOGY - SCIE(Q1),18.2,22.16,-3.963
Annual Review of Clinical Psychology,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, CLINICAL - SSCI(Q1)",18.4,22.1,-3.698
Cellular & Molecular Immunology,IMMUNOLOGY - SCIE(Q1),24.1,22.1,2.004
TRENDS IN PLANT SCIENCE,PLANT SCIENCES - SCIE(Q1),20.5,22.01,-1.512
Molecular Plant,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); PLANT SCIENCES - SCIE(Q1),27.5,21.95,5.551
